1658770928.0235534;4264
1658770928.034391;4269
1658770928.045159;4274
1658770928.0559266;4276
1658770928.0666926;4271
1658770928.0774603;4273
1658770928.088226;4275
1658770928.0989845;4267
1658770928.1097534;4274
1658770928.1205206;4265
1658770928.1312864;4274
1658770928.1420639;4267
1658770928.1528301;4277
1658770928.163597;4270
1658770928.1743703;4273
1658770928.1851375;4261
1658770928.195905;4271
1658770928.2066708;4274
1658770928.2174368;4271
1658770928.228203;4270
1658770928.2389786;4266
1658770928.2497444;4271
1658770928.2605097;4267
1658770928.271276;4273
1658770928.282041;4265
1658770928.2928057;4269
1658770928.303571;4263
1658770928.3143373;4268
1658770928.325102;4266
1658770928.335875;4273
1658770928.3466344;4275
1658770928.3574028;4272
1658770928.3681705;4269
1658770928.3789368;4267
1658770928.3897223;4275
1658770928.40049;4265
1658770928.4112556;4276
1658770928.422015;4262
1658770928.4327836;4270
1658770928.4435594;4269
1658770928.4543245;4267
1658770928.4650912;4269
1658770928.475858;4265
1658770928.4866312;4265
1658770928.4973972;4263
1658770928.508164;4270
1658770928.5189319;4268
1658770928.5296988;4270
1658770928.5404832;4265
1658770928.5513294;4270
1658770928.5621195;4269
1658770928.5731738;4272
1658770928.5842292;4270
1658770928.5952747;4272
1658770928.6063313;4275
1658770928.6173854;4270
1658770928.6284375;4268
1658770928.639491;4266
1658770928.650545;4274
1658770928.661689;4265
1658770928.6729093;4272
1658770928.6841216;4267
1658770928.6953325;4273
1658770928.7065418;4270
1658770928.7177634;4272
1658770928.7289753;4273
1658770928.7402222;4266
1658770928.7514458;4272
1658770928.7626953;4265
1658770928.7739074;4267
1658770928.7851171;4269
1658770928.7963266;4271
1658770928.8075385;4277
1658770928.8187494;4266
1658770928.829966;4273
1658770928.8411663;4270
1658770928.8523784;4274
1658770928.8635876;4269
1658770928.8747985;4271
1658770928.8860211;4268
1658770928.8972313;4271
1658770928.9084399;4274
1658770928.9196458;4268
1658770928.9308875;4273
1658770928.9421012;4268
1658770928.9533448;4271
1658770928.964567;4275
1658770928.9757748;4272
1658770928.9869843;4269
1658770928.9982092;4262
1658770929.0094209;4272
1658770929.0206304;4273
1658770929.0318384;4273
1658770929.0430467;4270
1658770929.0542893;4274
1658770929.065515;4273
1658770929.076725;4268
1658770929.0879295;4264
1658770929.0991423;4264
1658770929.110359;4277
1658770929.121568;4274
1658770929.132777;4272
1658770929.1439862;4270
1658770929.1552308;4273
1658770929.1664429;4269
1658770929.1776516;4267
1658770929.1888616;4264
1658770929.200072;4263
1658770929.2112806;4277
1658770929.2224894;4269
1658770929.233698;4270
1658770929.244907;4269
1658770929.256164;4273
1658770929.2673755;4273
1658770929.2785861;4265
1658770929.2897952;4270
1658770929.3010123;4265
1658770929.3122225;4272
1658770929.3234332;4271
1658770929.3346415;4275
1658770929.345841;4274
1658770929.357086;4273
1658770929.3682992;4275
1658770929.3795228;4269
1658770929.390764;4273
